Question,Catégorie,Poids_question_sur_10,Niveau_risque_1_a_5,Explication
Existe-t-il beaucoup d'heures supplémentaires payées ?,ressources_humaines,5,,"Les heures supplémentaires sont perçues par les salariés comme une source de revenu supplémentaire ""due"" lorsque cela est récurrent. Cela peut représenter un coût important pour l'entreprise et un changement d'organisation peut avoir un impact négatif sur l'entreprise. Ceci est un axe de négociation. 
En outre, il existe une règlementation à respecter en matière d'heures supplémentaires."
Existe-t-il de l'entraide familiale au sens large ?,ressources_humaines,8,,"L'entraide famiale doit être prise en compte dans la masse salariale pour ne pas augmenter artificiellement la valeur de l'entreprise.
"
100% de la rémunération des salariés est-t-elle déclarée selon la législation e,ressources_humaines,4,,"S'il y a eu des paiements non déclarés vous devez le savoir pour éventuellement les répercuter sur la masse salariale. "
Certains salariés ont-ils des avantages particuliers ?,ressources_humaines,3,,Prenez note de tous les avantages particuliers pour en estimer le coût et le valoriser lors de la vente.
Existe-t-il des usages au sein de l'entreprise ?,ressources_humaines,3,,"3 critères pour parler d'usage : généralité, constance, fixité. Supprimer un usage doit se faire dans le respect d'une procédure spécifique.
(Jurisprudences de la Cour de Cassation).
"
Avez-vous pu étudier en détail les dossiers du personnel ?,ressources_humaines,9,,"Regardez le volets entretien d'évaluation, formation, discipline, arrêt maladie."
Avez-vous pu vous entretenir individuellement avec les salariés et/ou représentants ?,ressources_humaines,6,,Vous pouvez découvrir des éléments importants du fonctionnement de l'entreprise.
Certains salariés ont-ils une position hiérarchique non contractualisée ?,ressources_humaines,1,,Certains salariés peuvent jouer un rôle hiérarchique sans que cela ne soit inscrit dans le contrat de travail. Cela sera un sujet managérial et juridique à gérer lors de la reprise.
"Existe-t-il des salariés absents dans l'entreprise lors de la reprise ? (CPE, maternité, incapacité...)",ressources_humaines,3,,"Plusieurs causes sont possibles, vous devez en apprécier les impacts futurs."
"🏛️ Existe-t-il des procédures en cours ? (Discplinaire, dossier d'invalidité, etc)",ressources_humaines,4,,"Plusieurs causes sont possibles, vous devez en apprécier les impacts futurs."
Certains salariés ont-ils plus de 10 ans d'ancienneté ?,ressources_humaines,9,,"Pensez à évaluer le coût de départ des salairés ayant 10 ans d'ancienneté. Cela peut avoir un impact considérable sur votre trésorerie. C'est un élément de négociation. Reprendre une entreprise de personnes ""expérimentées"" présente des avantages mais aussi des inconvénients.
A partir partir de la 11ème année le coût n'est pas le même.
"
Certains salariés sont-ils proches de la retraite ?,ressources_humaines,8,,Vous devez évaluer le coût avec votre expert-comptable.
"Le nombre d'apprentis est-il cohérent au regard du nombre d'employés ? ",ressources_humaines,1,,Ceci est un indicateur du fonctionnement de l'entreprise et de sa santé économique et financière.
📄 Les obligations d'affichage légal en entreprise sont-elles respectées ?,ressources_humaines,2,,"Selon l'effectif, vous devez respecter différentes règles d'affichage. Attention, le non-respect de ces règles est passible d'une amende. 
Voir Code du Travail."
Le DUERP est-il mis en place ? (Document Unique d'Evaluation des Risques Professionnels),ressources_humaines,3,,"Au premier salarié embauché, vous devez mettre ne place le Document Unique d'Evaluation des Risques Professionnels. En cas de non-respect, vous risquez une amende. Voir Code du Travail."
🩺 Les obligations relatives à la médecine du travail sont-elles respectées ?,ressources_humaines,3,,"Les entreprises privées doivent adhérer à la médecine du travail. Vérifier que les visites médicales aient bien été réalisées.
Article L4622-1 et suivants du Code du Travail."
Y-a-t-il déjà eu une visite de l'inspection du travail ?,ressources_humaines,7,,"S'il y a un rapport d'inspection du travail, vous devez ABSOLUMENT obtenir le rapport car il sera riche d'information et celui-ci peut impliquer des dépenses importantes comme le remplacement d'une machine jugée dangereuse, la mise au norme d'un tableau électrique, l'achat d'EPI, etc.
Article L8112-1 et suivants du Code du Travail."
👥 La règlementation liée aux Instances Représentative du Personnel est-elle respectée ?,ressources_humaines,5,,"Selon l'effectif de votre entreprise vous devez organiser des élections. En cas de d'absence de candidatures un procès verbal de carence doit être établi.
Article L2311-1 et suivants du Code du Travail"
Avez-vous réalisé un audit du bail commercial avec un professionnel ?,administratif_contrats,8,,Le bail est un élément important du fonds de commerce. Vous devez faire l'audit du bail avec un professionnel du droit.
Avez-vous fait un audit des contrats de la société ?,administratif_contrats,6,,"Liste non exhausitve des contrats :
- Bail commercial
- Contrats de travail
- Electricité/Energies (gaz, fioul, bois)
- Eau/Adoucisseurs
- Ordures Ménagères (dont le tri des biodéchets)
- Maintenance des machines
- Vidéo-surveillance"
Avez-vous réalisé un état des lieux avec photos ?,administratif_contrats,5,,"Lors de l'état des lieux, pensez à tout photographier."
Le local respecte-t-il la règlementation sur l'accessibilité des établissements recevant du public (ERP)?,administratif_contrats,2,,"Rapprochez-vous de votre mairie.
Loi du 11 février 2005 pour l'égalité des droits et des chances, la participation et la citoyenneté des personnes handicapées, les établissements recevant du public.
Voir aussi : Construction d'établissements recevant du public et aménagement d'installations ouvertes au public (Articles R162-8 à R162-13) du Code de la Construction.

Sanctions possibles : Fermeture de l'ERP par l'autorité administrative
Amende de 45 000 € (jusqu'à 225 000 € pour une personne morale)"
La société respecte-t-elle la règlementation sur la facturation électronique ?,administratif_contrats,3,,"Vérifiez que vous disposez des équipements et contrats pour mettre en place la facturation électronique.
Article 289 et suivants du Code des Impôts."
L'obligation de déclaration de manipulation de denrées alimentaires d'origine animale a-t-elle été réalisée ?,administratif_contrats,3,,"Il convient de se rapprocher de la DDPP (Direction Départementale de la Protection des
Populations). Le Cerfa 13984*06 sera a utiliser.
Articles de loi : Code rural et de la pêche maritime (Article L233-3, R231-4, R233-4)"
Avez-vous pu réaliser un audit des machines avec un professionnel avant la reprise/la vente ?,materiel_production,9,,"Faites contrôler le matériel avant la cession. Contôler la VNC du matériel. Celle-ci est indicatrice de l'usure du matériel. Une VNC proche de zéro indique un matériel amorti donc un investissement à prévoir.
Contrôler les liquides frigorigènes.
Contrôler  l'état de fonctionnement en détail de chaque machine (testez tous les boutons !)
Le jour de la cession : ne faites pas l'économie d'un état des lieux."
Avez-vous fait un audit du petit matériel ?,materiel_production,7,,Faites un audit de tout le petit matériel manquant ou à renouveler car cela peut vite chiffrer !
Avez-vous fait un audit de l'ameublement et autre matériel de stockage ?,materiel_production,7,,"Le stockage de denrées alimentaires et produits secs implique de respecter un certains nombres de règles : etagères de rangement, bacs de rangement HACCP, palettes etc. Vérifier que le principe de ""marche en avant"" soit respecté."
"Existe-il un aspirateur satisfaisant aux normes en vigueur pour lutter contre les poussières de farine ? ",materiel_production,2,,"Il est recommandé d'avoir un aspirateur qui respecte la norme ATEX. Attention, c'est un matériel qui coûte cher. Vous pouvez obtenir des aides de l'Assurance maladie, pensez à vous renseigner. A lire ; La recommandation R438 de l'INRS."
Existe-t-il une centrale de nettoyage et de désinfection ?,locaux_securite_hygiene,1,,"La centrale de nettoyage et de désinfection permet de garantir un lavage optimal des sols. Elle n'est pas obligatoire mais peut représenter un investissement nécessaire pour garantir votre responsabilité en matière d'hygiène.
"
Avez-vous eu accès au dernier rapport de l'inspection sanitaires ?,locaux_securite_hygiene,8,,"Vous pouvez accéder à certaines informations sur le site Alim'Confiance : https://alimconfiance.agriculture.gouv.fr/
Plusieurs thèmes sont traités lors d'une inspection."
Un système de contrôle des températures des denrées est-il en place ?,locaux_securite_hygiene,3,,Vous devez tenir un registre de contrôle des températures. Ce registre peut être manuel ou via une application.
Des tests d'analyse en laboratoire vous ont-ils été présentés ?,locaux_securite_hygiene,4,,"Des tests d'analyses doivent être réalisés régulièrement par un laboratoire indépendant. Ces tests se font sur la production, les surfaces ou encore le matériel.  Cela démontre le sérieux d'une entreprise et est une plus-value lors de la cession. En revanche, l'absence de rapport d'analyse est un risque."
Existe-t-il un Plan de Maitrîse Sanitaire ?,locaux_securite_hygiene,7,,"Un plan de maîtrise sanitaire doit être mise en place. Vous pouvez le faire vous-même ou via une société externe.
Voir règlement du ""Paquet Hygiène"" (Règlement (CE) n°852/2004)"
